osm_type,osm_id,name,amenity,addr_city,addr_street,addr_housenumber,addr_postcode,website,phone,lat,lon
node,351944463,Camí Sucrer,restaurant,,,,,,,39.2359278,-0.2615170
node,353180022,Cafetería La Terreta,cafe,,,,,https://is.ua.es/es/servicio-infraestructuras-y-servicios/cafeterias/cafeteria-centro-comercial.html,,38.3823243,-0.5131889
node,359924011,Torre de Rejas,restaurant,,,,,,,38.3790808,-0.4392971
node,365242574,Ti amo café,cafe,,,,,,,39.4704309,-0.3846727
node,365519623,Bar Jesus,cafe,,Calle Ángel Guimerà,,,,,39.4702672,-0.3841466
node,365519626,Pegaso,restaurant,,,,,,,39.4701940,-0.3837139
node,374488957,El Escorial,restaurant,,,,,,,38.4003778,-0.5321733
node,375810956,La Ereta,restaurant,,,,,,,38.3484790,-0.4816896
node,376344519,Soho,bar,,,,,,,38.3442589,-0.4835042
node,376624211,Aldebarán,restaurant,,paseo almirante Guillén Tato,,03003,https://ponienterestaurante.es/,+34 965123130,38.3390484,-0.4871140
node,377054923,Restaurante El Molinet,restaurant,,,,,,,39.5546820,-0.5532221
node,378745685,Café Terraza,cafe,Alacant,carrer de Góngora,9,03012,,,38.3588138,-0.4790050
node,378745686,Racó del Plá,restaurant,,,,,,,38.3568583,-0.4777002
node,378745688,El rincón de la amistad,restaurant,,,,,,,38.3602449,-0.4761015
node,385153157,Café Bar Ali-Oil,cafe,,,,,,,38.3429799,-0.5455247
node,386528155,Asador 7 de Julio,restaurant,,,,,,,38.3443393,-0.5255620
node,386528169,Bar Europa,restaurant,,,,,,,38.3448778,-0.5271327
node,386586478,La Viña,restaurant,,,,,,,39.5557264,-0.5144218
node,410961741,Cafetería Mary,cafe,Elche,Avinguda de l'Alegria,66,,,,38.1448586,-0.6460115
node,410961967,Bodeguilla de Paco,restaurant,Elche,plaça Glea,2,,,,38.1467511,-0.6447249
node,410975934,El Racó de Valentina,restaurant,Elche/Elx,Carrer Ruperto Chapí,20,,,,38.2663072,-0.7031354
node,410978419,Bar Bodega Paquito,bar,Elx,Carrer Isaac Peral,14,03203,,,38.2583448,-0.6977335
node,410979621,scaranos,restaurant,Elche,carrer Pablo Picasso,95AC,,,,38.2535533,-0.7040499
node,410980334,Caffe Gourmet,restaurant,Elche/Elx,plaça del Salvador,5,,,+34 965420725,38.2641860,-0.6974368
node,410983996,Bar Hermanos Zapata,restaurant,Elche/Elx,carrer Bisbe Winibal,35AC,03202,,+34965455279,38.2721963,-0.6843888
node,410991186,Waka Waka,cafe,Elche,carrer Xiquico,6,,,,38.2124770,-0.6818473
node,415643620,Del Carmen,restaurant,Elche/Elx,carrer Mare de Déu del Carme,5,,,,38.2647190,-0.6989365
node,418621899,Restaurante Don Camilo,restaurant,,,,,,,38.4321321,-0.6533000
node,430350965,Cafetería del Mercat,cafe,,,,,,,39.4635442,-0.4596953
node,445901656,Wok Buffet,restaurant,,,,,,,38.1969137,-0.5743758
node,447040113,Restaurante Intos,restaurant,,,,,,,39.5462512,-0.3861340
node,447040115,Ca Màxim,restaurant,,,,,,,39.5453175,-0.3851696
node,447040120,Bar Tapate,cafe,,,,,,,39.5461631,-0.3880163
node,447040121,Cafetería Chigal,cafe,,,,,,,39.5477791,-0.3886699
node,447040123,Restaurant Les Arts,restaurant,,,,,,,39.5481555,-0.3885052
node,447040124,Horno Cafetería Paiven,cafe,,,,,,,39.5484257,-0.3883345
node,447835918,Campanaris,restaurant,,,,,,,39.5429834,-0.3870116
node,447835929,Bar Alfara,cafe,,,,,,,39.5452824,-0.3849201
node,449183447,La Cova del Mero,restaurant,,,,,,+34 965 78 48 64,38.8629205,0.0507451
node,450609717,La Bona Cuina,restaurant,,,,,,,38.3397106,-0.4915656
node,451804322,Gastrobar Ozark,cafe,,,,,,,38.2535742,-0.7048295
node,451804328,cafetería el parque,cafe,,,,,,,38.2533189,-0.7047405
node,451809385,El águila,bar,,,,,,,38.2542307,-0.7054078
node,452158548,Piripi,restaurant,,,,,,,38.3422835,-0.4940235
node,460958056,La Finca,restaurant,,,,,,,38.2926529,-0.8930615
node,475014806,Restaurante Casamar,restaurant,,,,,,,38.4107649,-0.5635958
node,501918701,El Faro,restaurant,,,,,,,38.7384221,0.2172250
node,506667002,R&R,bar,,,,,,,38.3437401,-0.7606450
node,506905402,Restaurante YA,restaurant,,,,,,,38.3413796,-0.7737243
node,510405842,28,restaurant,Hondón de los Frailes,calle Juan Carlos I,28,03689,,,38.2733646,-0.9278953
node,510405863,Rayka,bar,,,,,,,38.2733715,-0.9274357
node,517870502,Forn Montesinos,cafe,,,,,,,39.5880238,-0.5535582
node,518498625,Nou Manolín,restaurant,Alicante/Alacant,Carrer de Villegas / Calle Villegas,3,03001,,,38.3452916,-0.4851219
node,518498633,Monastrell,restaurant,,,,,,,38.3442953,-0.4815514
node,518498642,El jumillano,restaurant,,,,,,,38.3471024,-0.4871990
node,522038061,Vista Ifach,restaurant,,,,,,+34 966 49 24 94,38.6870624,0.1344108
node,522038063,Dgust,restaurant,Moraira,Plaza de la Sort,3,03724,https://www.restaurantedgust.com/,+34966490808,38.6873505,0.1344023
node,530085846,Rodo,bar,,,,,,,39.4810836,-0.3960111
node,530116236,Restaurante Chino Mei Hua II,restaurant,,,,,,,39.4852451,-0.3984648
node,531507873,Bon Profit,restaurant,,,,,,+965 6064 6429; +34 617 34 91 36,38.3840265,-0.7673114
node,531756092,CA Ramon,restaurant,,,,,,,39.5907442,-0.5572781
node,531772017,La Fonda,restaurant,,,,,,,39.5871775,-0.5548468
node,531791748,Bar Musical,bar,,,,,,,39.5909014,-0.5537825
node,532081258,La Fonda,bar,,,,,,,39.5872503,-0.5548039
node,534347234,Bar Ginés,bar,Hondón de los Frailes,calle abad Antonio Claret,1,03689,,,38.2734967,-0.9269937
node,535222309,El Cucuch,restaurant,,,,,,,38.3841568,-0.7679172
node,539078174,Tangó,restaurant,Xàbia / Jávea,Puerto de Jávea,8,03730,,+34 627 68 97 94,38.7993414,0.1892937
node,539081734,EsPak,restaurant,,,,,,+34 966 47 74 39,38.7710362,0.1925008
node,539380080,Rosita,restaurant,,,,,,,38.7300050,0.1963239
node,539386995,Pizzeria Napoli,restaurant,,,,,,,38.7933259,0.1817270
node,539670709,Lungo Mare,restaurant,,,,,,,38.7720143,0.1901767
node,539675535,Everest Spice,restaurant,,,,,,,38.7446904,0.2094774
node,540682809,Cervecería Bayarri,restaurant,,,,,,,38.3645179,-0.4313873
node,541608711,Lucentum,restaurant,,,,,,,38.3657462,-0.4401247
node,542489586,Parada,bar,,,,,,,38.3852390,-0.7651966
node,544371177,Restaurante Camping Pepe,restaurant,Oliva,Partida Aigua Morta,,46780,https://campingpepe.com/,+34 96 285 74 04,38.8957023,-0.0511291
node,544371751,Restaurante Kiko Port,restaurant,Oliva,C/ del Pomer,,46780,https://kikoport.es/,+34 96 285 61 52,38.9320036,-0.0968184
node,548341321,Canela,cafe,,,,,,,38.3662597,-0.4304644
node,548443759,Isla d'Jerba,restaurant,,,,,,,38.3684570,-0.4334196
node,557030931,Wok,restaurant,,,,,,,39.5308304,-0.4430676
node,559415223,Kebap Novelda,restaurant,,,,,,,38.3842813,-0.7694626
node,559762467,Les Penyes,cafe,,,,,,,38.6762057,-0.1987874
node,571807669,Las Palmeras,restaurant,,,,,,,39.5004019,-0.4251362
node,571807670,Mesón Ferial,restaurant,,,,,,,39.5020236,-0.4262715
node,571807671,Valencia Restaurante,restaurant,,,,,,,39.5021147,-0.4263023
node,571807676,Duke,restaurant,,,,,,,39.5036825,-0.4249333
node,581031883,The Kings,bar,,,,,,,38.3464544,-0.7671504
node,581057616,bar Aspense,restaurant,,,,,https://www.restauranteaspense.com/,+34 965490002,38.3443630,-0.7679670
node,588390273,Cheng House Café,restaurant,,,,,,,40.0730460,-0.2119197
node,588596540,Me apetece,bar,,,,,,,38.3481190,-0.4854967
node,588596554,Il Duomo,cafe,,,,,,,38.3478927,-0.4851224
node,588642282,Monerris Sirvent,cafe,,,,,,,38.3474972,-0.4871971
node,588961553,Lizarrán,restaurant,,,,,,,38.3470726,-0.4883060
node,588981931,El Merengue,restaurant,,,,,,,38.3466428,-0.4894979
node,588987180,Iruña,cafe,,,,,,,38.3464178,-0.4901408
node,589013331,La Taberna de Luceros,restaurant,,,,,,,38.3458273,-0.4900207
node,589030903,Zhong Hua,restaurant,,,,,,,38.3454875,-0.4896390
node,592300784,ole rebeka,bar,,,,,,,38.3735924,-0.4878007
node,596430645,Cafetería,cafe,,,,,,,39.9949810,-0.0662203
node,597681782,Cantina,restaurant,,,,,,,39.9949681,-0.0707191
node,602274274,Cervecería Azahara,cafe,,,,,,,38.3588989,-0.4215892
node,602832171,El bodegón,restaurant,,,,,,,38.3654519,-0.4256751
node,603945094,La Marcelina,restaurant,València,Passeig de Neptú,8,46011,https://lamarcelina.com/,+34 963712025,39.4635462,-0.3234952
node,604758554,Bottom,cafe,,,,,,,38.3715959,-0.4148782
node,604758669,Cafetería Los Amigos,cafe,,,,,,,38.3722922,-0.4145198
node,604784821,Cafetería Echate P'allá,cafe,,,,,,,38.3727018,-0.4145153
node,604963260,restaurante Estrella,restaurant,,,,,,,38.3710971,-0.4123308
node,612476432,Costa 21,restaurant,Elche,,,,,,38.1276968,-0.6480631
node,616226464,Sabor Andaluz,cafe,,,,,,,38.3913193,-0.5055927
node,622954188,Montepiedra,restaurant,,,,,,,37.9006393,-0.7499965
node,622954192,La Barraca,restaurant,,,,,,,37.9002922,-0.7467993
node,622957348,Punto Amor,restaurant,,,,,,,37.9023578,-0.7483056
node,622957349,Jardines del Mar,bar,,,,,,,37.9007917,-0.7502368
node,622957351,El pony,restaurant,,,,,,,37.8980100,-0.7530468
node,623404026,Orihuela Costa Resort,restaurant,,,,,,,37.9222490,-0.7302151
node,623407990,Casa Alfonso,restaurant,,,,,,,37.9020711,-0.7600313
node,623407994,Las Villas,restaurant,,,,,,,37.9027187,-0.7604443
node,623415087,Pizza Nostra,restaurant,,,,,,,37.8861620,-0.7545759
node,626216183,El Frontón,restaurant,,,,,,,38.1288717,-0.6497747
node,626216190,Rivington's,restaurant,,,,,,,38.1277319,-0.6481293
node,650853610,Cafe Bar Plaza,bar,Aspe,calle de San José,31,03680,,,38.3468468,-0.7690974
node,662434796,Bar Restaurante Tren Pita,restaurant,,,,,,,39.9099411,-0.7076131
node,663334853,Chocolates Valor,cafe,Alacant / Alicante,Avinguda de Niça / Avenida de Niza,3,03540,,,38.3661631,-0.4104878
node,663334854,La Barbacoa,restaurant,Alacant / Alicante,Avinguda de Niça / Avenida de Niza,3,03540,,+34 865 78 87 06,38.3659956,-0.4104744
node,663334859,Azul Playa,restaurant,,,,,,,38.3687488,-0.4105808
node,663334863,Il Fornello,restaurant,,,,,,,38.3675764,-0.4105199
node,663663231,Lockers park,cafe,,,,,,,38.3516713,-0.4975303
node,663682514,Nou Nerea,restaurant,,,,,,,38.3506317,-0.4971784
node,663881607,Baires,cafe,,,,,,,38.3643255,-0.4330656
node,663885680,Boulevar,cafe,,,,,,,38.3630708,-0.4312689
node,664235541,café Dilema,cafe,,,,,,,38.3626614,-0.4670887
node,664235542,Lanús,restaurant,,,,,,,38.3627705,-0.4672330
node,664467857,San Francisco,cafe,,,,,,,39.6281021,-0.5999497
node,668068966,Barbacoa,restaurant,,,,,,,38.6701078,0.0631975
node,672763655,bar Pepico,bar,,,,,,,38.3875809,-0.4117993
node,672763656,bar Miguel,bar,,,,,,,38.3875563,-0.4117093
node,672792779,Madre,cafe,,,,,,,38.3879459,-0.4123556
node,672921488,Rosa's,restaurant,,,,,,,38.3876401,-0.4129228
node,672937822,Bones Tapes,cafe,,,,,,,38.3884498,-0.4109420
node,674042402,Miami,cafe,,,,,,,38.3437087,-0.4826692
node,674048526,El mirador,restaurant,,,,,,,38.3438389,-0.4831336
node,674064435,Nine,cafe,,,,,,,38.3447315,-0.4836213
node,674064441,Lizarran,restaurant,,,,,,,38.3451520,-0.4834815
node,674091855,Teatre,bar,,,,,,,38.3472108,-0.4849212
node,674095332,Cavanaghs Bar-Bistro,restaurant,Orihuela,Calle Mandarino,,03319,https://www.cavanaghbistro.eu,+34 602 57 22 89,38.0320023,-0.8188698
node,674102480,Sakacorchos,bar,,,,,,,38.3475763,-0.4848125
node,674102488,Don Carlos,cafe,,,,,,,38.3475535,-0.4843064
node,674102492,La cervecería,bar,,,,,,,38.3481411,-0.4844165
node,674104864,La oficina,cafe,,,,,,,38.3473101,-0.4844731
node,674906166,café Castallos'44,cafe,,,,,,,38.3470939,-0.4861298
node,680017365,Molí l'Abad,restaurant,,,,,https://www.moliabad.com,,40.6710501,0.2325546
node,694132774,Lemnos,bar,,,,,,,38.6971946,-0.4836932
node,694132794,Garden,bar,,,,,,,38.6964907,-0.4843385
node,697343688,Bocateria Cafè dels Sentits,bar,,,,,,,39.9900080,-0.0638030
node,697344815,El Círculo del Café,cafe,,,,,,,39.9905970,-0.0658150
node,705358517,Masía San Antonio de Poyo,restaurant,,,,,,,39.4788174,-0.5668852
node,706183369,Masía de Lacy,restaurant,,,,,,,39.5927052,-0.3646594
node,706183378,Masía de las Aguas Vivas,restaurant,,,,,,,39.5926138,-0.3651796
node,706208967,L'Estibador,restaurant,,,,,,,39.3985457,-0.3300106
node,715801466,Restaurante Joaquín,restaurant,,,,,,,38.0811329,-0.9455060
node,721565215,Bar El Sacrificio,restaurant,,,,,,,38.0788929,-0.9450812
node,721565240,La Casica,restaurant,,,,,,,38.0787034,-0.9450542
node,721565249,Las Vegas VIP,bar,,,,,,,38.0780347,-0.9449220
node,724517165,Café Racer,bar,,,,,,,38.0805743,-0.9459355
node,724517179,Café Roma,cafe,,,,,,,38.0797033,-0.9463491
node,724517218,El barecico,bar,,,,,,,38.0788220,-0.9462189
node,725063077,Restaurante Las 5 Hermanas,restaurant,,,,,,,39.0832846,-0.2428713
node,729666019,Café Madeira,cafe,,,,,,,38.0785006,-0.9471673
node,731289772,Café-Bar Trébol,cafe,,,,,,,38.0807595,-0.9458366
node,733806758,Pizzería Italiana,restaurant,,,,,,,38.0818141,-0.9483731
node,733806760,Whiskería San Francisco,bar,,,,,,,38.0830932,-0.9458602
node,733806771,Cafetería La Nueva Luna,cafe,,,,,,,38.0826705,-0.9470870
node,733806789,Café Rachel,cafe,,,,,,,38.0825377,-0.9470279
node,733806793,Bar La Tapa,bar,,,,,,,38.0815400,-0.9475404
node,757520146,El Castell Pizza,restaurant,,,,,,,38.5994610,-0.0511043
node,757520203,Morgan's Tavern,bar,,,,,,,38.5366620,-0.1108016
node,765559198,Restaurante Aitana,restaurant,,,,,,,38.3780219,-0.4101233
node,773000091,Gelateria Italiana,restaurant,,,,,,,37.9472865,-0.7145891
node,774051186,Kebap,restaurant,,,,,,,38.3415645,-0.4877254
node,774051195,Restaurante Oriente,restaurant,,,,,,,38.3423050,-0.4882779
node,774051199,Orient Express,restaurant,,,,,,,38.3421199,-0.4881384
node,787316302,Bar-Restaurante La Senia,restaurant,,,,,,,38.1045380,-0.9189986
node,791623316,Bar D'Amour,bar,,,,,,,38.0589753,-0.9231617
node,801936575,Chiringuito Morro Blanc,restaurant,,,,,,,38.4478943,-0.3641195
node,817304737,Levante,cafe,,,,,,,38.6773131,-0.1985456
node,821053534,Petit MontMartre,restaurant,,,,,,,39.4748689,-0.3749513
node,825235784,Horchatería El Siglo,restaurant,,,,,,,39.4739384,-0.3760325
node,825235820,Horchateria de Santa Catalina,cafe,,,,46002,,,39.4738263,-0.3762568
node,825235830,Bodeguilla del Gato,restaurant,València,Carrer dels Catalans,10,46001,,,39.4759235,-0.3772467
node,829998253,Pilsen,restaurant,,,,,,,38.3475950,-0.4851262
node,840097329,Heladería Neloa,cafe,,,,,,,38.4043514,-0.5254417
node,844209075,El Llaut,restaurant,,,,,,,38.8693270,-0.0114931
node,844211121,WindsurfCenterDenia,restaurant,,,,,,,38.8699415,-0.0109383
node,844213514,Heladería,bar,,,,,,,38.8685214,-0.0115927
node,844214011,Mistral,bar,,,,,,,38.8689558,-0.0114855
node,844322553,Restaurante L'Alqueria,restaurant,,,,,http://www.restaurantelalqueria.com/,+34962751010,39.5643773,-0.5438789
node,847852044,Pizzeria Piscina de Orba,restaurant,,,,,,,38.7827342,-0.0692909
node,849975460,Bar Llopis,restaurant,,,,,,,39.1914885,-0.4322560
node,850179221,San Augustin,restaurant,,,,,,,39.4681560,-0.3802543
node,850179228,CyT Canas y Tapas,restaurant,,,,,,,39.4738250,-0.3760298
node,850179237,Solaz,cafe,,,,,,,39.4959392,-0.3710206
node,850179243,La Terrazza,restaurant,,,,,https://www.laterrazzavlc.com,,39.4714708,-0.3776649
node,850179254,Sagardi Valencia - Cosineros Vascos,restaurant,,,,46002,https://sagardi.com/,+34 963 91 06 68,39.4733028,-0.3761283
node,854534403,La Pedrera del Rei,restaurant,,,,,,,39.5478103,-0.6525192
node,859620307,Pizzeria Portofino,restaurant,L'Eliana,Avenida del Camp de Turia,71,46183,http://www.pizzeriaportofinolaeliana.com/,+34 902026947,39.5721855,-0.5208316
node,859620363,Asia,restaurant,L'Eliana,Avenida de Germanías,1,,,,39.5682617,-0.5241754
node,869393762,Che Boludo,restaurant,Alboraia,Plaça Major,,46120,,,39.5087902,-0.3232178
node,869394105,Toni,cafe,,,,,,,39.5081390,-0.3218076
node,869397363,Capri,restaurant,,,,,,,38.8046114,-0.1587912
node,869397910,Bar L'Entrà,restaurant,,Avenida Marina Alta,20-A,,,+34 965572390,38.8060420,-0.1583308
node,869398780,Piscina,restaurant,,,,,,,38.8036054,-0.1612752
node,869409476,Camping Alcalá,restaurant,,,,,,,38.7948060,-0.2563708
node,869447419,Cafetería Pizzeria,cafe,València,,,46022,https://www.upv.es/entidades/PIZE/index-es.html,+34963877000 x88998,39.4819069,-0.3433539
node,870419532,Plaza,restaurant,,,,,,,39.5089009,-0.3235106
node,877045226,Bar Deportivo,cafe,,,,,,,38.3570302,-0.4951317
node,887068228,Club Nautico,restaurant,,,,,,,39.2781806,-0.2754690
node,890846356,Restaurante el Bosque La Eliana,restaurant,,,,,https://www.restelbosque.com/el-bosque-l-eliana,+34 648036902,39.5659335,-0.5298392
node,891117847,Restaurante La Eliana,restaurant,,,,,,+34962740750,39.5663245,-0.5305202
node,891117868,Cafetería Bocatería Tuareg,cafe,,,,,,,39.5655341,-0.5305673
node,891117876,Sorsi e Morsi,restaurant,,,,,,,39.5656960,-0.5280711
node,891117879,Sabor a Mar,cafe,,,,,,,39.5660379,-0.5305164
node,902542868,"Olivereta, 4",restaurant,,,,,,,38.2652809,-0.6961140
node,909408175,Les Tendes,restaurant,,,,,,,39.5124844,-0.3375860
node,909409227,La Lluna,restaurant,,,,,,,39.5129444,-0.3382116
node,911122392,Cafetería Tema,cafe,,,11,,,,39.8046054,-0.4114939
node,911157350,Asador de Rueda,cafe,,Calle Valencia,9,,,,39.8044570,-0.4107429
node,911291030,Jota's,bar,,,,,,,40.0515719,0.0751176
node,911292928,Arosa,restaurant,,,,,,,38.4094099,-0.4037763
node,914046255,Cafe Ro,cafe,,,,,,,39.6164261,-0.3009351
node,914209009,La paellica express,restaurant,Alicante,Carrer del Trident / Calle Tridente,31,03540,,,38.3642379,-0.4254982
node,915274893,Los Arrayanes,restaurant,,,,,,,38.3829320,-0.5134785
node,915868707,La Tartana Ristorante Pizzeria,restaurant,Benissa Costa,avenida del Baladrar,14,03720,,+34 966 497984,38.6793895,0.1023931
node,915874649,Cataleya,restaurant,,,,,,,39.5765986,-0.2761919
node,919463286,Cervecería Tabarca,restaurant,,,,,,,38.2658874,-0.6937119
node,919553869,El Guitarra,restaurant,,,,,,,38.5046184,-0.2315390
node,919553870,Le Cabanon,restaurant,,,,,,,38.5044673,-0.2316785
node,919553876,Zeppelin,bar,,,,,,,38.5036236,-0.2322387
node,919553885,El Hogar,restaurant,,,,,,,38.5046855,-0.2314827
node,920223707,Bar Restaurante 57,restaurant,Aspe,Avda. Constitución,29,03680,,,38.3467741,-0.7691157
node,921132998,Georgios Bar and Restaurant,restaurant,,,,,,,37.9450240,-0.7763979
node,921478868,Gran China,restaurant,,,,,,,38.0101562,-0.6947406
node,922263987,Restaurante Donnadry,restaurant,,,,,,+34965424654,38.2653323,-0.6939050
node,922263992,Restaurante Il Girasole Toscano,restaurant,,calle Daoiz,17,,,+34966613824,38.2652326,-0.6939436
node,922263993,Alba - Restaurante Trattoria,restaurant,,,,,,+34966242389,38.2674520,-0.6950695
node,930425317,Té y Café Museo,cafe,,,,,,,38.2657378,-0.7039896
node,931659777,Tetería La Tartana,cafe,,,,,,+34 655654687,38.2631592,-0.6976302
node,932662917,O Rincón Galego,restaurant,,,,,,,38.3478331,-0.7679207
node,932662920,Cervecería Solera,restaurant,,,,,,,38.3480087,-0.7681354
node,932662935,Cafetería Sama,cafe,,,,,,,38.3475677,-0.7670458
node,932662946,Bar Ateneo,restaurant,,,,,,,38.3481049,-0.7662683
node,932662955,Casa Jacinto,restaurant,,,,,,,38.3460006,-0.7655986
node,932690630,Studio Café,cafe,,,,,,,38.3486502,-0.7681744
node,935344670,Gelato Italiano,cafe,,,,,,,38.2654298,-0.6976878
node,937222134,cafetería Costablanca,cafe,,,,,,,38.3631495,-0.4730754
node,937222135,bar Avenida,bar,,,,,,,38.3627654,-0.4733460
